avg_score:0.1113	median_score:0.0954
Index	AvgScore	Score	NormalizedClaim	Text
63	0.1023	0.2480	This photo shows kangaroos rejoicing in the rain during the Australian bushfires	The user is sarcastically highlighting the lack of action or progress on an issue, using the repetitive phrase "It's raining in Australia" as a metaphor for inaction or stagnation, possibly criticizing the Australian government or institutions.
65	0.0996	0.0463	Screenshot shows Trudeau was named in Maxwell trial	The post exposes high-profile individuals, including Prince Andrew, Bill Clinton, Donald Trump, and others, who allegedly flew on Jeffrey Epstein's private plane, implicating them in his pedophile ring.
67	0.0986	0.0781	180 people so far charged with arson during Australian bushfires	The repeated mention of "180 arsonists" with increasing frustration (😡) implies that the government or institutions are not taking sufficient action to address the issue, and the speaker is criticizing their inaction.
69	0.0976	0.0746	UN trucks stationed in front of a pharmaceutical company in Toronto	The government and military are being portrayed as forcing vaccinations, symbolizing a loss of control and autonomy, with the term "Bioweapon WW3" metaphorically representing a perceived war on individual freedom.
70	0.0944	0.0222	Photo shows US basketball star LeBron James wearing a shirt that read: “WE DIE, y’all silent”	The government/institution remains unresponsive and indifferent to the plight of the people, only reacting with hostility to their attempts to bring attention to their issues.
71	0.0927	0.0521	Unvaccinated children pose no threat to anyone	The post criticizes the logic of vaccine mandates and the perceived hypocrisy of those who claim vaccinated individuals can still be at risk from unvaccinated ones, questioning the effectiveness of vaccines.
72	0.0929	0.0971	Images of children caged by human traffickers.	The poster is using child trafficking as a metaphor to criticize government and institutional inaction, implying corruption and cover-ups, and urging people to take action and demand accountability.
73	0.0959	0.1733	Indian and Pakistani soldiers dancing together to celebrate the arrival of Sikh religious pilgrims in Pakistan in October 2019	The post sarcastically highlights the rare occasion of Pakistani and Indian armies celebrating together, implying a temporary peace and cooperation between the two nations, despite their historical tensions.
75	0.0988	0.1765	Switzerland gives every citizen a gun	The post uses Switzerland as a metaphor to criticize the gun policies of other countries, implying that responsible gun ownership and training can lead to lower gun violence rates.
77	0.0984	0.0893	Photo shows child wounded in Russia invasion of Ukraine	The user is expressing emotional distress over the Ukraine war, calling for prayer and divine protection, and implicitly criticizing governments for failing to prevent or resolve the conflict.
79	0.0987	0.1071	NATO train ferrying armoured vehicles and military cargo to war in Ukraine	The post uses "convoy cabins" as a metaphor for secretive military aid, criticizing an "ego-driven dictator" and expressing support for Ukraine with a hashtag #IStandWithUkraine.
80	0.0967	0.0365	A rail freight tanker had “COVID-19” stamped on one side	The user is implying censorship by an institution, likely a government or company, by repeatedly stating that their post got deleted and they're reposting it.
81	0.0960	0.0730	Photograph shows people in Ukraine praying amid increased tensions with Russia.	The post uses prayer and fasting as a metaphor for seeking help and guidance during Ukraine's war, while also promoting a religious app and Pastor Chris.
83	0.0949	0.0595	These are advices on coronavirus prevention	The post spreads unverified and potentially misleading information about coronavirus, using an alleged expert source to create a sense of credibility, and urges readers to share it.
84	0.0974	0.1802	Ivory tusks and horns are dyed pink to prevent poaching	The entity is using pink dye to mark and render ivory unusable, saving elephant lives by making it unsellable.
86	0.0985	0.1379	Illegally enter Australia and get a job, $70,000 and welfare	The post criticizes the Australian government's alleged leniency towards illegal immigrants, comparing it to the harsh punishments in other countries, implying that Australia is too generous and needs to "wake up".
94	0.0990	0.1154	About 100,000 votes cast in the US state of Nevada were fraudulent	The user is spreading misinformation about election fraud to undermine the legitimacy of the presidential election and support Trump's claims.
96	0.0981	0.0649	Chinese man fights with Kenyan worker	The post is a metaphorical warning to governments and institutions to treat Africans with dignity, implying that disrespect will have consequences.
102	0.0963	0.0287	Australians who avoid their local clinics during the novel coronavirus epidemic will receive free doctor visits	The government is being satirically portrayed as having a well-organized and efficient healthcare system, which is likely not the case, highlighting the flaws in the actual system.
103	0.0938	0.0000	UberBus coming to South Africa	The post metaphorically portrays Uber as an aggressive entity, implying the company is taking on a powerful opponent, possibly symbolizing a government or institution, and will likely face consequences.
105	0.0953	0.1546	Foreign commanders spotted directing Hong Kong protests	The post implies that the protesters are being directed by outsiders, possibly government agents or provocateurs, using similar cars and appearing physically fit, suggesting a level of training and organization.
110	0.0959	0.1190	Image shows snake that swallowed a rifle	The user is criticizing corrupt institutions, using snakes as a metaphor for their greedy and unchecked consumption of resources.
113	0.0952	0.0676	Elderly Chinese couple hold hands in hospital after they were infected with coronavirus	The user is expressing emotional support and urging China and the world to combat the epidemic with compassion and strength, possibly implying that the government's response is inadequate.
115	0.0985	0.2355	Yogi Adityanath provides for orphan child at Diwali celebrations in 2019	The government (represented by Yogi Ji) is portrayed as a caring parent, taking responsibility for the welfare of its citizens, particularly vulnerable children, by providing for their basic needs.
117	0.0987	0.1071	Covid-19 vaccine recipients are spreading variants and "creating" mutations	The poster and Janci Lindsay, Ph.D. are criticizing the government and pharmaceutical companies for promoting ineffective vaccines, and instead suggesting alternative treatments like hydroxychloroquine and ivermectin, implying that the real motivation is profit rather than public health.
118	0.0972	0.0314	New Australian law passed in Parliament which revokes licenses from drivers who touch their phone	The government is overregulating and exerting excessive control over citizens' daily lives, symbolized by strict rules for phone use while driving.
119	0.0951	0.0000	Video shows Ukrainian refugee boy walking in Poland alone	The post highlights the human cost of war, criticizing governments for failing to protect civilians, particularly children.
121	0.0971	0.1890	$100B contact tracing bill “is about controlling/tracking population, not about coronavirus.”	The government is using COVID-19 as a metaphor to justify tracking and controlling the population, rather than genuinely addressing the virus.
122	0.0951	0.0000	Image shows New Zealand PM Jacinda Ardern hugging gang member	The government is disarming its citizens, leaving them vulnerable.
126	0.0943	0.0595	Images show artwork created using fireflies	The fireflies represent sparks of truth or awareness, and the long exposure symbolizes the prolonged effort to reveal the hidden realities, possibly about government or corporate issues.
128	0.0976	0.2587	US government to provide free crack pipes to drug users	The Biden administration is being criticized and ridiculed for allegedly funding programs that distribute crack pipes, implying the government is enabling drug use under the guise of promoting racial equity.
130	0.1012	0.2804	Indian journalist Rana Ayyub arrested at protest	The user is expressing admiration for a girl's courage and referencing Jinnah, likely as a metaphor for praising a brave individual who stands up against institutional problems or government issues, while also showing support for journalist Rana Ayyub.
139	0.1026	0.1716	A Facebook post about an anti-COVID-19 restrictions protest in Berlin uses a photograph that is not from the protest but instead from a Swiss dance party held in 2019.	The post criticizes the Australian government's handling of the epidemic, likening public compliance to tyranny, and contrasts it with a large protest in Berlin against lockdowns, accusing mainstream media of underreporting the protest's size.
143	0.1032	0.1379	Salk Institute said vaccines cause illnesses; UBC said lockdowns have no benefit	The government and health institutions are spreading misinformation and causing harm through ineffective and potentially dangerous measures, such as faulty tests, vaccines, and lockdowns.
144	0.1052	0.2076	America had the lowest unemployment rate in history a year ago in April 2020	The government is being criticized for proposing a costly jobs plan despite recent low unemployment rates, implying inefficiency and potential misuse of taxpayer funds.
148	0.1050	0.0943	Trudeau is part of global 'Great Reset' conspiracy	The pandemic is a metaphor for government control, with the "Great Reset" symbolizing a power grab by institutions like the UN.
152	0.1061	0.1681	SADS is an adverse effect of the Covid-19 vaccine	The government and pharmaceutical companies, specifically Pfizer, are hiding the truth about the COVID vaccine's adverse reactions, including deaths and health issues, and instead attributing them to a new syndrome called SADS.
154	0.1059	0.0952	Cap on when Nancy Pelosi got Covid-19 vaccine	The user criticizes government trustworthiness and vaccine efficacy, using "Witch" as "Bitch" to evade censorship, and questions Nancy's vaccination method to imply distrust in institutions.
155	0.1055	0.0833	COVID-19 guidelines from India’s top medical research body ICMR	The entity, ICMR New Delhi, posts excessive and impractical COVID-19 precautions, likely symbolizing government overreach or inefficiency.
156	0.1102	0.3853	Novel coronavirus exposure at a doctor’s office in this Australian town	The community is discussing a potential coronavirus exposure at a local doctor's office, warning others to take precautions and avoid public places to protect their children.
161	0.1096	0.0741	A photo shows a Time magazine cover comparing Vladimir Putin to Adolf Hitler	The entity, Putin, shattered Europe's stability, symbolizing a destructive force disrupting peaceful institutions.
165	0.1106	0.1681	Trump author of speech disparaging Africans and Arabs	The metaphorical entity, Donald Trump, is spreading racist and derogatory remarks about Africans, claiming they are inferior and incapable of self-governance, while actually satirically criticizing corruption and poor leadership in Africa, and encouraging Africans to rise up and challenge their institutions.
166	0.1114	0.1604	A picture of some protestors carrying some placards is doing the rounds on the internet. The text on one of the placards read, 'We are not Arabs, to kill us and keep silent'.	The post criticizes the US government, likening its actions to killing Arabs and expecting them to remain silent, with "hooting" implying a callous disregard for their suffering.
167	0.1125	0.1818	Trump reinstated to Facebook	The user is sarcastically expressing loyalty to Donald Trump, implying blind or unwavering support despite potential controversy.
170	0.1119	0.0704	Video shows impressive Pakistani paratroopers	The user is satirically highlighting the repetitive and forced nature of nationalistic or patriotic rhetoric, possibly criticizing the Pakistani army's influence or propaganda.
174	0.1141	0.2564	List of Biden accomplishments is true	The user is satirically exaggerating Joe Biden's accomplishments to criticize Facebook's fact-checking policies and potentially comment on the spread of misinformation.
176	0.1137	0.0885	Simplot plans to close down Australian frozen vegetable manufacturing	The metaphorical entity, the Australian government and companies, prioritizes profits over national food security and safety, allowing foreign control and potentially harmful practices to infiltrate the food industry.
179	0.1120	0.0000	Instagram page showing antifa symbol belongs to Illinois shooting suspect	The user is implying that the media selectively reports on shooters' political affiliations, suggesting a liberal shooter's ideology would be downplayed or ignored.
180	0.1112	0.0588	Members of "World Doctors Alliance" make multiple claims about severity of Covid-19 pandemic, including that it's a "normal flu"	The repeated message implies that the government of South Africa, led by Cyril, is facing or will face legal consequences, possibly due to corruption or mismanagement.
184	0.1125	0.2010	Photo of Philippine mayor Isko Moreno Domagoso taken after testing positive for Covid-19	The user criticizes Isko Moreno, a government official, for allegedly violating COVID protocols and prioritizing photo opportunities over public safety, implying that he is more concerned with his public image than with protecting people's lives.
189	0.1116	0.0455	Ballots received by error are proof of widespread voter fraud	The user is criticizing the lack of oversight and security in a system, implying government or institutional incompetence.
190	0.1100	0.0000	JNU Student Union president Aishe Ghosh faked a hand injury	The government or institution is not solving the problem, just relocating or rebranding it.
192	0.1114	0.2078	News Headlines on white supremacy links to GameStop stock rise	The post satirically suggests that CNN is sensationalizing and misrepresenting the Gamestop stock situation, implying that the media outlet is more focused on creating a provocative narrative than reporting factual information.
196	0.1098	0.0000	Ukrainian soldiers saying goodbye to their partners before going to war	The user is expressing anti-war sentiments and advocating for peace in Ukraine.
197	0.1092	0.0629	rolonged use of face masks causes hypoxia -- a lack of oxygen in the body.	The post metaphorically suggests that governments or institutions are suffocating individual freedom and autonomy.
198	0.1097	0.1471	Biden says will raise taxes	The entity, America First Action, is spreading alarmist messages about Biden's tax proposals to sway public opinion against him.
201	0.1094	0.0840	Israeli soldier arrests child during Gaza fighting in June 2021	The Israeli government is symbolized as an oppressive force, suffocating and harming innocent Palestinians, particularly children, highlighting the perceived brutality and disregard for human rights.
203	0.1085	0.0407	EU warns Uganda’s Bobi Wine over swearing-in ceremony	The European Union is metaphorically portrayed as a tool for maintaining the status quo and supporting the existing government in Uganda, rather than promoting democracy or the will of the people.
205	0.1071	0.0000	Video of raunchy marriage custom in Namibia	The post critiques institutions that test loyalty and commitment through temptation, implying that governments or companies may use similar tactics to assess an individual's dedication.
206	0.1071	0.1087	Pakistan's advisor to PM on Finance dances after imposing new taxes	The post criticizes Hafeez Sheikh, likely a government official, for repeatedly imposing taxes on the general public (awaam), implying exploitation and burden on citizens.
210	0.1075	0.1412	Australian TV network 7 News predicts COVID-19 case numbers for Victoria one day in advance	The user is mocking Channel 7 for prematurely posting Sunday's COVID-19 numbers on Saturday, implying a lack of attention to detail or a rush to report bad news, and possibly criticizing the government's handling of the pandemic.
215	0.1079	0.1359	This is a genuine photo of a Philippine opposition senator sleeping during a congressional hearing	The user mocks President Duterte, comparing him to a sleeping pig, implying he is unaware or ignoring important issues, like the death penalty, and is only concerned with his own interests, using the metaphor of being roasted like a pig (lechon).
218	0.1072	0.0495	Pro-Pakistan slogans shouted outside an airport in India	The post criticizes AIUDF members for allegedly raising "Pakistan Zindabad" slogans, implying they are anti-national, and demands the resignation of Badruddin Ajmal as MP.
219	0.1084	0.2066	Vaccines are not aimed at protecting the unvaccinated from Covid-19	The post satirically criticizes the notion of herd immunity and vaccine mandates, implying that vaccinated individuals are still at risk, and the blame is shifted to unvaccinated people.
220	0.1082	0.0962	Video shows flooding at Hyderabad airport in India in 2020	The airport runway is flooded, symbolizing government inefficiency and poor infrastructure management.
221	0.1088	0.1579	video of monkeys in an Indian hospital	The monkeys represent chaos or uncontrolled forces, and the hospital represents a place of governance or institution, implying that Zimbabwe's government or institutions are being overrun by chaos.
226	0.1118	0.3704	Army takes over from police to end unrest in South Africa	The post uses a metaphor of a military takeover and emergency situation to criticize the ANC government in South Africa, implying that the government is oppressive and that citizens need to be "freed" from it.
227	0.1111	0.0439	Images show scenes of recent unrest in Nigeria's southeast	The Nigerian military is invading Orlu, killing citizens, and destroying houses under the pretext of searching for the Eastern Security Network.
228	0.1112	0.1230	“Myanmar used Dominion Voting Systems.”	The user is comparing Myanmar's election issues to those in the US, implying that the US had similar voting irregularities and that the military's intervention in Myanmar is similar to what some might have wanted in the US, criticizing the US election integrity and institutions.
229	0.1105	0.0459	Video shows deer on beach during COVID-19 lockdown	The post uses a deserted beach as a metaphor for a failed or abandoned system, possibly criticizing the government's handling of the epidemic or other issues, implying a sense of emptiness and neglect.
235	0.1092	0.0000	Capsule used in Karapitiya hospital cures Covid-19 in Sri Lanka	The metaphorical entity, likely representing a government or institution, is being praised for their efforts, with the poster wishing them strength to make the world a better place. The entity is Dr. Udara Gunawardhana, and the context suggests a connection to the MeGha food supplement and its development to fight the Corona virus.
238	0.1087	0.0562	Image shows the arrest of a TPLF leader	The government is silencing heroic dissenters, and the people will continue to fight for victory.
239	0.1082	0.0641	Overseas airlines considering barring vaccinated travellers	Governments and institutions are criticized for inconsistent and controlling policies, using vaccination requirements as a metaphor for authoritarianism and loss of freedom.
243	0.1070	0.0000	Ghana leads Africa in COVID-19 testing per million people	The user is mocking the government's repetitive and potentially ineffective responses to the pandemic, implying a lack of substantial action.
244	0.1065	0.0610	Comedian Tim Allen wrote pro-Trump post	The post criticizes the cost of the Obamacare website, implying government inefficiency, and uses Trump's wall as a metaphor to highlight perceived wasteful spending.
245	0.1068	0.1333	Robredo wrongly computed the number of people allowed during her NGO launch	The user is mocking the math of a government entity, specifically Leni's, regarding their claim of accommodating 3,000 people per day, implying that the numbers don't add up and the institution is being dishonest or incompetent.
246	0.1085	0.2698	Street poster about coronavirus authorised by Extinction Rebellion	The user is criticizing environmentalists, specifically those associated with Agenda 21, by sarcastically suggesting they see the coronavirus as a cure for overpopulation, implying humans are the disease, and attributing this twisted view to extremist environmental groups like Extinction Rebellion.
252	0.1107	0.3221	Biafran flag on Nigerian president’s vehicle	The post uses the Biafra flag on Buhari's vehicle as a metaphor to criticize or mock the Nigerian government's handling of separatist movements.
254	0.1113	0.1724	Image of a large crowd is of a Trump rally in Florida	The user is criticizing the government's handling of an issue in Ocala, Florida, by implying that the situation is self-explanatory and no further explanation is needed, highlighting the severity of the problem.
255	0.1116	0.1376	Scenes before Modi started plogging at Mamallapuram beach.	The post sarcastically highlights the extensive resources spent on PR and image management by PM Modi, implying that his beach cleaning activity was staged for publicity.
256	0.1121	0.1639	Face masks are aimed at protecting the wearer from COVID-19	The poster is criticizing the effectiveness of masks and implying that governments and companies are misleading people about their protective capabilities, using the product's own warning label as evidence.
264	0.1117	0.0746	Photo shows Covid-19 dead bodies in Indian river in May 2021	The governments of UP and Bihar are criticized for their insensitivity, and the media is accused of bias, with the floating corpses in the Ganga river symbolizing the failure of the system.
266	0.1106	0.0000	India issues emergency warning over novel coronavirus	The post spreads misinformation about COVID-19, mimicking official health notifications to criticize governments' handling of the pandemic.
267	0.1100	0.0455	Philippine health department issues 'Omicron Alert' graphic	The metaphorical entity "Omicron" likely represents government corruption or institutional problems, and the "infection" symbolizes the spread of their negative influence, with "re-infection" signifying the recurring or worsening issues.
270	0.1105	0.1613	Mugabe has computerised coffin	The post satirically criticizes excessive government spending and the influence of Western companies, using Robert Mugabe's expensive, high-tech casket as a metaphor.
273	0.1099	0.0467	Three carrots give you energy to walk three miles	The metaphorical entity promotes unhealthy misinformation about food and health, possibly symbolizing how governments or companies spread false or misleading information to the public.
275	0.1099	0.1136	Video shows graphene nanoparticles, which are found in Covid-19 vaccines	The user is likely criticizing the handling of a health issue, using "graphene oxide" as a metaphor for a problematic situation, possibly related to vaccine or government policies.
276	0.1093	0.0368	Photo shows empty shelves in Nova Scotia caused by railway blockades	The post uses the metaphor of "blockades" and "shelf shortages" to criticize government or corporate actions, likely referencing the COVID-19 pandemic or other institutional issues, and calls for their resolution.
277	0.1095	0.1351	USPS is not losing money and has no debt	The user is using repetition to emphasize opposition to privatization of public services, specifically the USPS, and highlighting its self-sustaining nature and benefits to argue against privatization.
282	0.1085	0.0000	https://www.facebook.com/ken.larive/posts/10157559483628404	The user is criticizing the lack of media attention and government response to a significant issue, using the hypothetical discovery of 39 missing kids as a metaphor for the neglect of important problems by institutions.
286	0.1082	0.0813	Merriam-Webster changed its definition of anti-vaxxer amid Covid-19 pandemic	Users express opposition to government overreach, comparing it to a "Nanny Government", and criticize mandatory vaccination laws, with one user referencing "The Ministry of Truth" from 1984, implying censorship and manipulation of language.
287	0.1084	0.1289	Twitter, Google and YouTube block users from seeing video of an aerial flame-thrower starting wildland fires	The user discusses a "Heli-Torch", a tool used for controlled burns to fight brush fires, metaphorically representing a powerful force used to combat and manage problems, potentially symbolizing government or institutional actions to address issues.
290	0.1095	0.2325	The Atlantic published an article about "heroism" of Joe Biden's bike fall	The post uses Biden's bike fall as a metaphor to satirically portray the government's resilience and ability to bounce back from failures.
291	0.1095	0.1026	An image of a woman with an extremely swollen belly shows a mother pregnant with quadruplets.	The user is satirically comparing a government or institution to a doctor, implying it is claiming to have a problem (four babies in the stomach) that is absurd and unrealistic, highlighting the entity's incompetence or misinformation.
293	0.1092	0.0741	A Canadian hospital has mannequins in its beds instead of Covid-19 patients	The user is mocking the CBC News report, implying that the hospital is faking capacity issues by using mannequins, symbolizing government or institutional incompetence.
294	0.1082	0.0000	Recent photos of armed robbery suspects under arrest	The metaphorical entity, government or institutions, is portrayed as being robbed by corruption, with the robbers representing corrupt individuals or systems that exploit and harm the people, and the police symbolizing the efforts to combat and overcome these corrupt forces.
295	0.1081	0.1007	Aspirin, lemon juice and honey mixture as home remedy for COVID-19	The metaphorical entity, representing governments and institutions, is misdiagnosing and mishandling the epidemic, using ineffective treatments and protocols, and prioritizing intensive care and investments unnecessarily, while ignoring simpler and more effective home therapies and treatments.
300	0.1072	0.0000	Photo shows Filipino celebrity John Lapus denouncing communist groups	The user is mocking and criticizing the Philippine government and its stance on the CPP-NPA-NDF, using repetition and emojis to convey sarcasm and ridicule.
301	0.1066	0.0307	Video shows Singapore’s ruling party placing election poster over opposition party's poster	The user is expressing anger and frustration towards institutions or authorities, referred to as "pappies", implying corruption and a willingness to fight back.
302	0.1070	0.1531	CNN back-pedalled and said Trump will win US presidency	CNN is portrayed as reluctantly admitting Trump's potential election win, symbolizing biased media coverage.
303	0.1075	0.1689	An image of a wounded child is from the Russian invasion of Ukraine	The user is calling for prayer and support for Ukraine, implying that governments and institutions are failing to protect innocent people, particularly children, from war and conflict.
308	0.1073	0.0885	Image shows authentic media release announcing extension of Sydney lockdown	The government is using lockdowns as a means of control, extending restrictions for an excessively long period, symbolizing oppressive governance.
311	0.1111	0.5671	Human-generated CO2 is an insignificant contributor to climate change	The post accuses the EPA of deceiving the public by excluding water vapor from its greenhouse gas pie chart, thereby exaggerating CO2's role, and claims that man-made CO2 is an insignificant contributor to global temperature and climate.
319	0.1120	0.2262	Flu shot is free and should be regarded as suspicious	The medical industry is prioritizing flu shots over life-saving medications, suggesting a potential profit motive or hidden agenda behind mass vaccinations.
320	0.1111	0.0000	Video shows Afghanistan woman stoned to death in November 2021	The Taliban and the world represent oppressive institutions and silent bystanders, respectively, highlighting inaction and brutality.
321	0.1106	0.0439	Girl pictured in Indian-administrated Kashmir after India revokes its autonomy	The user is expressing nationalist sentiment and implying that the Indian government's control over Kashmir is a source of safety and stability.
323	0.1104	0.0862	Israeli soldier arrests child during Gaza fighting in June 2021	The Israeli government is symbolized as an oppressive force, suffocating and harming innocent Palestinians, particularly children, with no regard for their well-being.
324	0.1102	0.0847	Video shows a truck driving into moving helicopter blades in Amritsar, in India's Punjab state	The user is flooding the post with repetitive text and truck emojis, likely symbolizing a government or institution crashing or failing repeatedly.
327	0.1099	0.0694	Image shows Pakistani plane moments before crash in Karachi in May 2020	The repeated posting of "Photo Before Landing Of PK-320" with no actual photo may symbolize government or institutional transparency issues, implying a lack of substance or information behind official statements or reports.
329	0.1104	0.1786	Trump posted this tweet about H1N1 pandemic in 2009	The user is mocking Trump's hypocrisy by retweeting his 2009 post criticizing Obama's handling of a pandemic, implying Trump's own handling of the pandemic was poor.
331	0.1103	0.0926	Nasir el-Rufai says Buhari knows who is behind Zamfara killings	The government is being accused of knowing and possibly supporting the attackers, implying corruption and ineptitude.
336	0.1098	0.0463	Video shows Seoul rally against coronavirus restrictions in August 2020	The government and media are expected to exaggerate or fabricate coronavirus cases to discredit the large protest.
338	0.1100	0.1389	Russian, Spanish airlines are telling COVID-19 vaccinated people to not fly	The post uses the issue of blood clots and travel restrictions to metaphorically criticize vaccination policies and government control, implying that the true intention of vaccines is to restrict people's freedom of movement.
339	0.1110	0.2410	List of Biden accomplishments is true	The user is criticizing Facebook's fact-checking bias by posting false information about Joe Biden and comparing it to actual accomplishments of Trump that were flagged as false.
347	0.1116	0.1921	USA police arrest south Sudanese not knowing he is FBI agent	The post highlights racial profiling by police, using an undercover FBI agent as a metaphor to illustrate the issue's severity and relation to systemic racism, referencing the George Floyd case.
348	0.1116	0.1064	ICC sends cautionary letter to Kenyan politician	The International Criminal Court is warning Kenyan leaders against using derogatory language that could incite violence, referencing the 2007/8 Post-Election Violence, and urging inclusion to prevent similar devastation.
350	0.1120	0.1736	Video shows flooding at Karachi airport in July 2022	The repetition of "live from Karachi airport" may symbolize the government's or institution's repetitive, unchanging, and ineffective responses to issues.
354	0.1114	0.0340	Healthy people under 50 or recovered from Covid-19 do not need the vaccine	The doctor is criticizing the lack of early treatment for patients, which can be a metaphor for the government's slow response to crises, implying institutional failure.
355	0.1112	0.0769	Photo shows aftermath of Beirut, Lebanon blast in August 2020	The government's negligence and lack of regulation are being compared to a highly explosive and volatile substance, ammonium nitrate, implying that their inaction can have catastrophic consequences.
358	0.1119	0.2083	PEP Stores recruiting workers in South Africa	The post advertises a learnership program at Pep Stores, requiring a Grade 10 education and passion for fashion and retail, with a stipend available.
361	0.1123	0.1678	South Africa’s President Ramaphosa dancing like he’s on drugs	The user criticizes President Cyril Ramaphosa, comparing his dancing to that of drug users, implying he's embarrassing the country and his "Thuma Mina" campaign is nonsense.
372	0.1125	0.1402	These photos show the throats of COVID-19 patients	The post uses COVID-19 as a metaphor to describe the suffocating and isolating effects of government control, with the virus representing oppressive institutions and the symptoms symbolizing the loss of freedom and autonomy.
373	0.1121	0.0543	Attempted child abduction at SA mall	The government is being accused of exploiting and selling out its citizens, with the "foreign man" and "R3000 per child" serving as metaphors for corrupt institutions and the price of their corruption.
375	0.1123	0.1442	Moving “corpses” expose deaths staged by Hamas	The user accuses Hamas of faking news and lying about Palestinian martyrs, suggesting they are staging fake deaths for the cameras.
378	0.1126	0.1579	This video shows Muslims were buried alive by workers of the Bharatiya Janata Party (BJP).	The user is spreading misinformation and hate speech about the Indian government and political parties, BJP and RSS, accusing them of violent acts against Muslims.
379	0.1125	0.1000	This video shows landslide in north-eastern India.	The repeated mention of a landslide on the Guwahati to Shillong road may symbolize the repetitive and unaddressed problems or blockages caused by the government or institutions.
384	0.1127	0.1339	ND TV reveals that Ex PM gave money to "the Hindu" reporter to publish about possible LTTE attack to Sri Lanka	Mahinda Rajapaksa is funding a Hindu reporter to spread false news about the LTTE's resurgence.
